AB#,8WQW-GC-1,116-28,155-17,116-19,PBST
8WQW-GC-1,0.0799,1.1114,0.9413,0.1268,0.021
116-28,1.4247,0.1042,0.9848,1.5422,0.0088
155-17,1.4753,1.3451,0.1195,1.5779,-0.0013
116-19,0.0488,1.1395,0.8639,0.0884,0.0098
PBST,1.5107,1.4335,1.1329,1.6447,0.0174
,,,,,
,,,,,
,8WQW-GC-1,116-28,155-17,116-19,
8WQW-GC-1,0.947110611,0.224694803,0.169123488,0.922903873,
116-28,0.056927252,0.927310778,0.130726454,0.062321396,
155-17,0.023432846,0.061667248,0.894518492,0.04061531,
116-19,0.967697094,0.205092431,0.237443728,0.946251596,
,0,0,0,0,
