AB#,8WSN,8WQW-GC,8YXI,116-21,124-15,124-16,PBST
8WSN,0.3386,0.5161,0.5791,0.7662,0.3492,1.1117,-0.0528
8WQW-GC,1.0668,0.0843,0.6653,0.8693,0.0657,0.9499,-0.026
8YXI,1.047,0.5934,0.0936,0.8512,0.4093,0.2898,-0.0337
116-21,1.0184,0.6383,0.6879,0.0881,0.4403,0.8783,0.018
PBST,1.0924,0.6924,0.6714,0.9597,0.5149,0.9175,0.031
,,,,,,,
,,,,,,,
,,,,,,,
,8WSN,8WQW-GC,8YXI,116-21,124-15,124-16,
8WSN,0.690040278,0.254621606,0.137473935,0.201625508,0.32181006,-0.211662125,
8WQW-GC,0.023434639,0.878249567,0.009085493,0.094196103,0.872402408,-0.035313351,
8YXI,0.041559868,0.142980936,0.860589812,0.113056163,0.205088367,0.684141689,
116-21,0.067740754,0.078134027,-0.024575514,0.908200479,0.144882501,0.042724796,
,0,0,0,0,0,0,
