UV_280_X (Vol),UV_280_Y (Abs),UV_260_X (Vol),UV_260_Y (Abs)
0.0,0.017423,0.215179,92.467758
0.001163,-7.022933,0.220994,88.382614
0.002326,-7.024073,0.22681,75.441826
0.003488,-7.024367,0.232625,-7.459655
0.004651,-7.024422,0.238441,-26.555073
0.005814,-7.023828,0.244257,-26.552967
0.006977,-7.022899,0.250072,-26.555342
0.00814,-7.022075,0.255888,-26.558962
0.009303,-7.021311,0.261704,-26.560299
0.010465,-7.020556,0.267519,-26.559978
0.011628,-7.019944,0.273335,-26.562786
0.012791,-7.019451,0.279151,-26.569056
0.013954,-7.01896,0.284966,-26.571972
0.015117,-7.018469,0.290782,-26.577719
0.016279,-7.017005,0.296597,-26.580717
0.017442,-7.01481,0.302413,-26.580828
0.018605,-7.012635,0.308229,-26.580942
0.019768,-7.010464,0.314044,-26.585957
0.020931,-7.008293,0.31986,-26.585508
0.022094,-7.010249,0.325676,-26.577454
0.023256,-7.015773,0.331491,-26.571726
0.024419,-7.021534,0.337307,-26.566666
0.025582,-7.027299,0.343123,-26.562059
0.026745,-7.033074,0.348938,-26.555899
0.027908,-7.03815,0.354754,-26.546764
0.02907,-7.042634,0.360569,-26.520863
0.030233,-7.047072,0.366385,-26.45599
0.031396,-7.051517,0.372201,-26.355007
0.032559,-7.05431,0.378016,-26.223236
0.033722,-7.052413,0.383832,-26.071396
0.034885,-7.048052,0.389648,-25.93589
0.036047,-7.043752,0.395463,-25.830851
0.03721,-7.039491,0.401279,-25.693104
0.038373,-7.032495,0.407095,-25.598286
0.039536,-7.020795,0.41291,-23.938274
0.040699,-7.007232,0.418726,-21.676285
0.041861,-6.993715,0.424541,-20.946527
0.043024,-6.980192,0.430357,-20.839136
0.044187,-6.961506,0.436173,-20.711193
0.04535,-6.938078,0.441988,-22.088404
0.046513,-6.914012,0.447804,-24.133064
0.047676,-6.890024,0.45362,-24.731636
0.048838,-6.865993,0.459435,-24.713875
0.050001,-6.836294,0.465251,-24.722145
0.051164,-6.795802,0.471067,-24.754515
0.052327,-6.750111,0.476882,-24.810999
0.05349,-6.704043,0.482698,-24.87468
0.054652,-6.658053,0.488513,-24.946758
0.055815,-6.60416,0.494329,-25.022621
0.056978,-6.546603,0.500145,-25.09763
0.058141,-6.492265,0.50596,-25.158432
0.059304,-6.437224,0.511776,-25.219406
0.060467,-6.376946,0.517592,-25.273153
0.061629,-6.311683,0.523407,-25.31748
0.062792,-6.245903,0.529223,-25.358116
0.063955,-6.183978,0.535039,-25.394283
0.065118,-6.122197,0.540854,-25.416706
0.066281,-6.058361,0.54667,-25.431374
0.067443,-5.990423,0.552485,-25.44441
0.068606,-5.922732,0.558301,-25.457207
0.069769,-5.857881,0.564117,-25.47374
0.070932,-5.793025,0.569932,-25.49671
0.072095,-5.725814,0.575748,-25.523918
0.073258,-5.657251,0.581564,-25.552454
0.07442,-5.593119,0.587379,-25.581184
0.075583,-5.531213,0.593195,-25.610182
0.076746,-5.469262,0.599011,-25.641502
0.077909,-5.405785,0.604826,-25.676107
0.079072,-5.341175,0.610642,-25.712759
0.080234,-5.280167,0.616457,-25.751991
0.081397,-5.221572,0.622273,-25.790146
0.08256,-5.162986,0.628089,-25.823666
0.083723,-5.102647,0.633904,-25.856882
0.084886,-5.043435,0.63972,-25.889351
0.086049,-4.990909,0.645536,-25.917833
0.087211,-4.939023,0.651351,-25.942814
0.088374,-4.887046,0.657167,-25.966108
0.089537,-4.83381,0.662983,-25.985432
0.0907,-4.781405,0.668798,-26.00415
0.091863,-4.734477,0.674614,-26.022041
0.093025,-4.68785,0.680429,-26.042067
0.094188,-4.641007,0.686245,-26.067795
0.095351,-4.593282,0.692061,-26.091707
0.096514,-4.547229,0.697876,-26.111877
0.097677,-4.505692,0.703692,-26.134769
0.09884,-4.464104,0.709508,-26.159706
0.100002,-4.421512,0.715323,-26.180349
0.101165,-4.377986,0.721139,-26.201643
0.102328,-4.336934,0.726955,-26.223312
0.103491,-4.298286,0.73277,-26.24103
0.104654,-4.259677,0.738586,-26.256321
0.105816,-4.219959,0.744401,-26.270811
0.106979,-4.179167,0.750217,-26.283787
0.108142,-4.141556,0.756033,-26.29665
0.109305,-4.107685,0.761848,-26.309492
0.110468,-4.074467,0.767664,-26.321285
0.111631,-4.040659,0.77348,-26.33387
0.112793,-4.004172,0.779295,-26.346781
0.113956,-3.969908,0.785111,-26.358715
0.115119,-3.937651,0.790927,-26.369022
0.116282,-3.90543,0.796742,-26.375984
0.117445,-3.872635,0.802558,-26.382643
0.118607,-3.840435,0.808373,-26.39028
0.11977,-3.812805,0.814189,-26.397371
0.120933,-3.785053,0.820005,-26.403879
0.122096,-3.757205,0.82582,-26.412004
0.123259,-3.727506,0.831636,-26.420643
0.124422,-3.696771,0.837452,-26.428158
0.125584,-3.671311,0.843267,-26.437113
0.126747,-3.645861,0.849083,-26.447285
0.12791,-3.619991,0.854899,-26.45616
0.129073,-3.592867,0.860714,-26.462807
0.130236,-3.566456,0.86653,-26.469822
0.131398,-3.542791,0.872345,-26.477697
0.132561,-3.519198,0.878161,-26.484589
0.133724,-3.494886,0.883977,-26.491951
0.134887,-3.469433,0.889792,-26.500389
0.13605,-3.444983,0.895608,-26.50749
0.137213,-3.422286,0.901424,-26.511915
0.138375,-3.399658,0.907239,-26.516705
0.139538,-3.376355,0.913055,-26.521431
0.140701,-3.352262,0.918871,-26.523333
0.141864,-3.330028,0.924686,-26.52593
0.143027,-3.309451,0.930502,-26.531649
0.144189,-3.288805,0.936317,-26.538214
0.145352,-3.267381,0.942133,-26.548473
0.146515,-3.244137,0.947949,-26.561554
0.147678,-3.221105,0.953764,-26.569977
0.148841,-3.198472,0.95958,-26.576311
0.150004,-3.175933,0.965396,-26.582525
0.151166,-3.152323,0.971211,-26.584629
0.152329,-3.128026,0.977027,-26.583754
0.153492,-3.106651,0.982843,-26.583334
