Run 1; Ch 6; Fc 2-1; Cy 5; W5; Conc 3.125 6.25 12.5 25 50 nM_X 	Run 1; Ch 6; Fc 2-1; Cy 5; W5; Conc 3.125 6.25 12.5 25 50 nM_Y 	Run 1; Ch 6; Fc 2-1; Cy 5; W5; Conc 3.125 6.25 12.5 25 50 nM; Fitted_X 	Run 1; Ch 6; Fc 2-1; Cy 5; W5; Conc 3.125 6.25 12.5 25 50 nM; Fitted_Y 	
-39.5 	-1.38070000381413 	-39.5 	0 	
-39.3999977111816 	-0.395034292985656 	-39.3999977111816 	0 	
-39.2999992370605 	1.78080002555726 	-39.2999992370605 	0 	
-39.1999969482422 	0.291226238154195 	-39.1999969482422 	0 	
-39.0999984741211 	0.803330955051933 	-39.0999984741211 	0 	
-39 	1.0056999850276 	-39 	0 	
-38.8999977111816 	-0.501201212944579 	-38.8999977111816 	0 	
-38.7999992370605 	0.118599999637809 	-38.7999992370605 	0 	
-38.6999969482422 	0.125300316991343 	-38.6999969482422 	0 	
-38.5999984741211 	0.0830989802416298 	-38.5999984741211 	0 	
-38.5 	0.0486999997629027 	-38.5 	0 	
-38.3999977111816 	0.0735014368947304 	-38.3999977111816 	0 	
-38.2999992370605 	0.0817000000824919 	-38.2999992370605 	0 	
-38.1999969482422 	0.395097112846997 	-38.1999969482422 	0 	
-38.0999984741211 	-0.0054925771728449 	-38.0999984741211 	0 	
-38 	0.274400001337199 	-38 	0 	
-37.8999977111816 	0.00739945626264671 	-37.8999977111816 	0 	
-37.7999992370605 	-0.000900012637430336 	-37.7999992370605 	0 	
-37.6999969482422 	-0.281216194547596 	-37.6999969482422 	0 	
-37.5999984741211 	-0.368900112200208 	-37.5999984741211 	0 	
-37.5 	0.0612999927980127 	-37.5 	0 	
-37.3999977111816 	0.271500744602235 	-37.3999977111816 	0 	
-37.2999992370605 	0.100000000118598 	-37.2999992370605 	0 	
-37.1999969482422 	0.0951016445833375 	-37.1999969482422 	0 	
-37.0999984741211 	0.106001256583113 	-37.0999984741211 	0 	
-37 	0.122200000983867 	-37 	0 	
-36.8999977111816 	0.0894002249369805 	-36.8999977111816 	0 	
-36.7999992370605 	0.0316000027414702 	-36.7999992370605 	0 	
-36.6999969482422 	-0.0151995989326679 	-36.6999969482422 	0 	
-36.5999984741211 	-0.00939990548067726 	-36.5999984741211 	0 	
-36.5 	-0.0115999972731515 	-36.5 	0 	
-36.3999977111816 	-0.0118986060806492 	-36.3999977111816 	0 	
-36.2999992370605 	0.0176000001229113 	-36.2999992370605 	0 	
-36.1999969482422 	1.7143611330539E-07 	-36.1999969482422 	0 	
-36.0999984741211 	-0.00179935913547524 	-36.0999984741211 	0 	
-36 	-0.00750000025436748 	-36 	0 	
-35.8999977111816 	0.0141999197403493 	-35.8999977111816 	0 	
-35.7999992370605 	0.00749999967592885 	-35.7999992370605 	0 	
-35.6999969482422 	-0.0105999355837412 	-35.6999969482422 	0 	
-35.5999984741211 	-0.0173003277632233 	-35.5999984741211 	0 	
-35.5 	-0.0186000002286164 	-35.5 	0 	
-35.3999977111816 	-0.0208000003840425 	-35.3999977111816 	0 	
-35.2999992370605 	-0.0332000003800204 	-35.2999992370605 	0 	
-35.1999969482422 	-0.0297004006242787 	-35.1999969482422 	0 	
-35.0999984741211 	-0.0354997560061747 	-35.0999984741211 	0 	
-35 	-0.0322999999443709 	-35 	0 	
-34.8999977111816 	-0.0393000803051109 	-34.8999977111816 	0 	
-34.7999992370605 	-0.03719999990426 	-34.7999992370605 	0 	
-34.6999969482422 	-0.0267999887619226 	-34.6999969482422 	0 	
-34.5999984741211 	-0.0287998160456482 	-34.5999984741211 	0 	
-34.5 	-0.0195999992865836 	-34.5 	0 	
-34.3999977111816 	-0.00769985166334664 	-34.3999977111816 	0 	
-34.2999992370605 	-0.0138999998525833 	-34.2999992370605 	0 	
-34.1999969482422 	-0.0180001803564664 	-34.1999969482422 	0 	
-34.0999984741211 	-0.0218997178890277 	-34.0999984741211 	0 	
-34 	-0.0252000005420996 	-34 	0 	
-33.8999977111816 	-0.023300016142457 	-33.8999977111816 	0 	
-33.7999992370605 	-0.0291000005636306 	-33.7999992370605 	0 	
-33.6999969482422 	-0.0288999314798275 	-33.6999969482422 	0 	
-33.5999984741211 	-0.0271996514129569 	-33.5999984741211 	0 	
-33.5 	-0.0176000002866203 	-33.5 	0 	
-33.3999977111816 	-0.0146998360432917 	-33.3999977111816 	0 	
-33.2999992370605 	-0.0141000016737962 	-33.2999992370605 	0 	
-33.1999969482422 	-0.00979979613839532 	-33.1999969482422 	0 	
-33.0999984741211 	-0.00799982563330559 	-33.0999984741211 	0 	
-33 	-0.0034000027771981 	-33 	0 	
-32.8999977111816 	-0.00219996856321814 	-32.8999977111816 	0 	
-32.7999992370605 	0.000600001963903196 	-32.7999992370605 	0 	
-32.6999969482422 	0.00120004869677359 	-32.6999969482422 	0 	
-32.5999984741211 	0.0033000615585479 	-32.5999984741211 	0 	
-32.5 	0.00209999923390569 	-32.5 	0 	
-32.3999977111816 	0.00129998297779821 	-32.3999977111816 	0 	
-32.2999992370605 	0.00209999686558149 	-32.2999992370605 	0 	
-32.1999969482422 	0.00020002837118227 	-32.1999969482422 	0 	
-32.0999984741211 	0.00100012217808398 	-32.0999984741211 	0 	
-31.9999980926514 	0.00250003647670383 	-31.9999980926514 	0 	
-31.8999977111816 	0.00409998261966393 	-31.8999977111816 	0 	
-31.7999992370605 	0.0019999890573672 	-31.7999992370605 	0 	
-31.6999988555908 	0.00369995993241901 	-31.6999988555908 	0 	
-31.5999984741211 	-0.000499991965625668 	-31.5999984741211 	0 	
-31.4999980926514 	0.00139997179576312 	-31.4999980926514 	0 	
-31.3999977111816 	0.00039984954855754 	-31.3999977111816 	0 	
-31.2999992370605 	-0.00390000785409939 	-31.2999992370605 	0 	
-31.1999988555908 	-0.00429996992170345 	-31.1999988555908 	0 	
-31.0999984741211 	0.00119999417074723 	-31.0999984741211 	0 	
-30.9999980926514 	-0.0015999794122763 	-30.9999980926514 	0 	
-30.8999977111816 	-0.00329994420098956 	-30.8999977111816 	0 	
-30.7999992370605 	0.00140005715002189 	-30.7999992370605 	0 	
-30.6999988555908 	0.00410000938063604 	-30.6999988555908 	0 	
-30.5999984741211 	0.00580002191054518 	-30.5999984741211 	0 	
-30.4999980926514 	0.00640006119283498 	-30.4999980926514 	0 	
-30.3999977111816 	0.007000139405136 	-30.3999977111816 	0 	
-30.2999992370605 	0.00930001576853101 	-30.2999992370605 	0 	
-30.1999988555908 	0.00719999206194188 	-30.1999988555908 	0 	
-30.0999984741211 	0.00829994803643785 	-30.0999984741211 	0 	
-29.9999980926514 	0.00609992468525888 	-29.9999980926514 	0 	
-29.8999977111816 	0.00389998363243649 	-29.8999977111816 	0 	
-29.7999992370605 	0.00740001242229482 	-29.7999992370605 	0 	
-29.6999988555908 	0.00649991251339088 	-29.6999988555908 	0 	
-29.5999984741211 	0.00410001921409275 	-29.5999984741211 	0 	
-29.4999980926514 	0.00780001548628206 	-29.4999980926514 	0 	
-29.3999977111816 	0.00399988577191834 	-29.3999977111816 	0 	
-29.2999992370605 	0.00179997654777253 	-29.2999992370605 	0 	
-29.1999988555908 	-0.000400066113797948 	-29.1999988555908 	0 	
-29.0999984741211 	-0.00300004746895866 	-29.0999984741211 	0 	
-28.9999980926514 	-0.00140008809830761 	-28.9999980926514 	0 	
-28.8999977111816 	-0.00160001695257961 	-28.8999977111816 	0 	
-28.7999992370605 	0.00129996137548005 	-28.7999992370605 	0 	
-28.6999988555908 	-0.000399973931052955 	-28.6999988555908 	0 	
-28.5999984741211 	0.00189997695269994 	-28.5999984741211 	0 	
-28.4999980926514 	0.000499964095070027 	-28.4999980926514 	0 	
-28.3999977111816 	-0.00120009787133313 	-28.3999977111816 	0 	
-28.2999992370605 	-0.0037000636511948 	-28.2999992370605 	0 	
-28.1999988555908 	-0.00319998336999561 	-28.1999988555908 	0 	
-28.0999984741211 	-0.00149998472988955 	-28.0999984741211 	0 	
-27.9999980926514 	0.00149994685489219 	-27.9999980926514 	0 	
-27.8999977111816 	-0.00140000740793766 	-27.8999977111816 	0 	
-27.7999992370605 	-0.00120005922144628 	-27.7999992370605 	0 	
-27.6999988555908 	-0.00270002771139843 	-27.6999988555908 	0 	
-27.5999984741211 	-0.00180005513539072 	-27.5999984741211 	0 	
-27.4999980926514 	-0.00380006324485294 	-27.4999980926514 	0 	
-27.3999977111816 	-0.00400014146362082 	-27.3999977111816 	0 	
-27.2999992370605 	-0.00320007743357564 	-27.2999992370605 	0 	
-27.1999988555908 	-0.00370007978199283 	-27.1999988555908 	0 	
-27.0999984741211 	-0.00350002794584725 	-27.0999984741211 	0 	
-26.9999980926514 	-0.00320008313792641 	-26.9999980926514 	0 	
-26.8999977111816 	-0.00250010360468877 	-26.8999977111816 	0 	
-26.7999992370605 	-0.00310004127459251 	-26.7999992370605 	0 	
-26.6999988555908 	-0.00350002077539102 	-26.6999988555908 	0 	
-26.5999984741211 	-0.00449999655029387 	-26.5999984741211 	0 	
-26.4999980926514 	-0.00690004718489945 	-26.4999980926514 	0 	
-26.3999977111816 	-0.00700004107420682 	-26.3999977111816 	0 	
-26.2999992370605 	-0.00620003175572492 	-26.2999992370605 	0 	
-26.1999988555908 	-0.00580002886636066 	-26.1999988555908 	0 	
-26.0999984741211 	-0.00710008405803819 	-26.0999984741211 	0 	
-25.9999980926514 	-0.00890008217538707 	-25.9999980926514 	0 	
-25.8999977111816 	-0.00980012981744949 	-25.8999977111816 	0 	
-25.7999992370605 	-0.00820004010529374 	-25.7999992370605 	0 	
-25.6999988555908 	-0.00870003816817189 	-25.6999988555908 	0 	
-25.5999984741211 	-0.00990000392266666 	-25.5999984741211 	0 	
-25.4999980926514 	-0.00750004013389116 	-25.4999980926514 	0 	
-25.3999977111816 	-0.0111000116557989 	-25.3999977111816 	0 	
-25.2999992370605 	-0.0113999636523658 	-25.2999992370605 	0 	
-25.1999988555908 	-0.00680006489710649 	-25.1999988555908 	0 	
-25.0999984741211 	-0.00840007611986948 	-25.0999984741211 	0 	
-24.9999980926514 	-0.0118000399888842 	-24.9999980926514 	0 	
-24.8999977111816 	-0.010200171462202 	-24.8999977111816 	0 	
-24.7999992370605 	-0.0116000315683777 	-24.7999992370605 	0 	
-24.6999988555908 	-0.0145000845623144 	-24.6999988555908 	0 	
-24.5999984741211 	-0.0172000621860207 	-24.5999984741211 	0 	
-24.4999980926514 	-0.0196000603064022 	-24.4999980926514 	0 	
-24.3999977111816 	-0.0211000641829742 	-24.3999977111816 	0 	
-24.2999992370605 	-0.0208000557067862 	-24.2999992370605 	0 	
-24.1999988555908 	-0.0194000394330942 	-24.1999988555908 	0 	
-24.0999984741211 	-0.0200000583863584 	-24.0999984741211 	0 	
-23.9999980926514 	-0.0222000681933423 	-23.9999980926514 	0 	
-23.8999977111816 	-0.0224000529378827 	-23.8999977111816 	0 	
-23.7999992370605 	-0.0210000170300191 	-23.7999992370605 	0 	
-23.6999988555908 	-0.022100071550085 	-23.6999988555908 	0 	
-23.5999984741211 	-0.0240000187004625 	-23.5999984741211 	0 	
-23.4999980926514 	-0.0218000393506372 	-23.4999980926514 	0 	
-23.3999977111816 	-0.0241000434034504 	-23.3999977111816 	0 	
-23.2999992370605 	-0.022499980070279 	-23.2999992370605 	0 	
-23.1999988555908 	-0.0232000078431156 	-23.1999988555908 	0 	
-23.0999984741211 	-0.0194000257906737 	-23.0999984741211 	0 	
-22.9999980926514 	-0.0209000291688426 	-22.9999980926514 	0 	
